Query Number,Doc ID
1089273,590
1089273,58
1089273,911
1089273,1256
1089273,930
1089273,986
1089273,965
1089273,597
1089273,352
1089273,35
1087869,1478
1087869,1174
1087869,545
1087869,1541
1087869,373
1087869,699
1087869,1122
1087869,1350
1087869,1175
1087869,1502
1087858,547
1087858,707
1087858,565
1087858,461
1087858,69
1087858,1217
1087858,817
1087858,975
1087858,1221
1087858,1190
1087532,595
1087532,387
1087532,1439
1087532,332
1087532,675
1087532,373
1087532,407
1087532,603
1087532,1110
1087532,738
1086886,407
1086886,466
1086886,595
1086886,558
1086886,593
1086886,1248
1086886,736
1086886,503
1086886,111
1086886,127
1100937,1484
1100937,145
1100937,514
1100937,1407
1100937,1141
1100937,271
1100937,806
1100937,925
1100937,201
1100937,883
1100930,279
1100930,1478
1100930,1344
1100930,1349
1100930,1243
1100930,625
1100930,1373
1100930,1320
1100930,379
1100930,250
1086281,815
1086281,79
1086281,214
1086281,1194
1086281,1167
1086281,589
1086281,853
1086281,994
1086281,455
1086281,684
1085013,1439
1085013,1288
1085013,567
1085013,891
1085013,1410
1085013,763
1085013,997
1085013,1009
1085013,1283
1085013,313
1085008,1516
1085008,335
1085008,722
1085008,1211
1085008,1515
1085008,303
1085008,768
1085008,1012
1085008,280
1085008,589
1084898,487
1084898,866
1084898,538
1084898,138
1084898,229
1084898,938
1084898,991
1084898,1192
1084898,1005
1084898,1056
1084336,141
1084336,825
1084336,1361
1084336,1205
1084336,78
1084336,868
1084336,875
1084336,892
1084336,1254
1084336,118
1083926,681
1083926,456
1083926,1361
1083926,433
1083926,918
1083926,1101
1083926,274
1083926,118
1083926,210
1083926,65
1083727,118
1083727,210
1083727,260
1083727,256
1083727,536
1083727,1125
1083727,745
1083727,1361
1083727,134
1083727,1345
1083721,1546
1083721,851
1083721,694
1083721,886
1083721,838
1083721,900
1083721,558
1083721,203
1083721,1223
1083721,3
1081730,45
1081730,303
1081730,14
1081730,163
1081730,212
1081730,1108
1081730,384
1081730,1039
1081730,979
1081730,525
1081338,968
1081338,1509
1081338,550
1081338,1035
1081338,1360
1081338,1096
1081338,221
1081338,1099
1081338,1188
1081338,88
1077002,868
1077002,220
1077002,865
1077002,771
1077002,99
1077002,45
1077002,1347
1077002,883
1077002,360
1077002,533
1074807,978
1074807,936
1074807,1040
1074807,250
1074807,87
1074807,868
1074807,687
1074807,1120
1074807,635
1074807,1308
1069521,972
1069521,1262
1069521,1435
1069521,65
1069521,80
1069521,220
1069521,865
1069521,771
1069521,99
1069521,45
1067587,849
1067587,274
1067587,184
1067587,1347
1067587,941
1067587,1242
1067587,328
1067587,334
1067587,791
1067587,460
1066709,175
1066709,913
1066709,1342
1066709,1212
1066709,515
1066709,89
1066709,1102
1066709,40
1066709,381
1066709,376
1063892,1267
1063892,1445
1063892,609
1063892,1533
1063892,156
1063892,40
1063892,631
1063892,598
1063892,124
1063892,366
1062687,799
1062687,488
1062687,153
1062687,450
1062687,1450
1062687,894
1062687,1154
1062687,433
1062687,491
1062687,604
1060496,1275
1060496,1071
1060496,1045
1060496,1110
1060496,792
1060496,605
1060496,785
1060496,869
1060496,711
1060496,1114
1053901,624
1053901,1407
1053901,240
1053901,729
1053901,1242
1053901,941
1053901,726
1053901,745
1053901,597
1053901,141
1052985,614
1052985,220
1052985,561
1052985,942
1052985,843
1052985,1156
1052985,423
1052985,1189
1052985,468
1052985,598
1051520,1164
1051520,1311
1051520,562
1051520,220
1051520,865
1051520,771
1051520,99
1051520,473
1051520,45
1051520,1347
1048185,1325
1048185,220
1048185,865
1048185,771
1048185,99
1048185,45
1048185,1347
1048185,883
1048185,360
1048185,533
1047738,1543
1047738,40
1047738,635
1047738,329
1047738,220
1047738,865
1047738,771
1047738,99
1047738,45
1047738,1347
1047548,197
1047548,1277
1047548,220
1047548,865
1047548,771
1047548,99
1047548,45
1047548,1347
1047548,883
1047548,360
1046520,1522
1046520,220
1046520,774
1046520,1507
1046520,138
1046520,353
1046520,566
1046520,865
1046520,771
1046520,99
1046042,654
1046042,1091
1046042,394
1046042,1067
1046042,291
1046042,1015
1046042,1362
1046042,454
1046042,1383
1046042,1174
1045709,963
1045709,1529
1045709,616
1045709,865
1045709,1242
1045709,644
1045709,112
1045709,348
1045709,759
1045709,291
1040848,1318
1040848,1513
1040848,349
1040848,1016
1040848,872
1040848,437
1040848,189
1040848,218
1040848,202
1040848,477
1039728,814
1039728,1153
1039728,1080
1039728,992
1039728,763
1039728,755
1039728,1451
1039728,1435
1039728,1152
1039728,678
1099980,331
1099980,1274
1099980,1110
1099980,758
1099980,1012
1099980,1050
1099980,199
1099980,958
1099980,1295
1099980,823
1037872,1021
1037872,441
1037872,1106
1037872,1542
1037872,1240
1037872,1122
1037872,729
1037872,1495
1037872,1260
1037872,618
1033718,568
1033718,963
1033718,776
1033718,455
1033718,421
1033718,78
1033718,1347
1033718,1273
1033718,1126
1033718,1154
1031861,547
1031861,1162
1031861,1353
1031861,562
1031861,1143
1031861,904
1031861,742
1031861,79
1031861,465
1031861,902
1029058,15
1029058,213
