Query_number,Doc_number
174249,"('output_93644.txt', 0.6490484476089478)"
174249,"('output_474777.txt', 0.649048388004303)"
174249,"('output_82332.txt', 0.6106643676757812)"
174249,"('output_398595.txt', 0.5737076997756958)"
174249,"('output_456516.txt', 0.5323537588119507)"
174249,"('output_494847.txt', 0.5238796472549438)"
174249,"('output_443059.txt', 0.5212769508361816)"
174249,"('output_46305.txt', 0.5082783699035645)"
174249,"('output_116881.txt', 0.5076098442077637)"
174249,"('output_54105.txt', 0.5073972344398499)"
320792,"('output_366436.txt', 0.6841636896133423)"
320792,"('output_176881.txt', 0.6577979326248169)"
320792,"('output_61817.txt', 0.6510367393493652)"
320792,"('output_246012.txt', 0.6473488211631775)"
320792,"('output_179837.txt', 0.6452800035476685)"
320792,"('output_262045.txt', 0.6417361497879028)"
320792,"('output_352138.txt', 0.6389086246490479)"
320792,"('output_395743.txt', 0.6235013008117676)"
320792,"('output_85081.txt', 0.6209365129470825)"
320792,"('output_329416.txt', 0.6063144207000732)"
1090270,"('output_448415.txt', 0.6051940321922302)"
1090270,"('output_298622.txt', 0.5822739601135254)"
1090270,"('output_42812.txt', 0.5706888437271118)"
1090270,"('output_452799.txt', 0.5467342138290405)"
1090270,"('output_265754.txt', 0.5353686809539795)"
1090270,"('output_156073.txt', 0.5352556705474854)"
1090270,"('output_35057.txt', 0.486772358417511)"
1090270,"('output_268087.txt', 0.45905601978302)"
1090270,"('output_215250.txt', 0.4196004867553711)"
1090270,"('output_123984.txt', 0.40874767303466797)"
1101279,"('output_66449.txt', 0.6628702282905579)"
1101279,"('output_1228.txt', 0.6587063074111938)"
1101279,"('output_290907.txt', 0.6238530874252319)"
1101279,"('output_427666.txt', 0.619416356086731)"
1101279,"('output_231387.txt', 0.6120573878288269)"
1101279,"('output_289142.txt', 0.6054201126098633)"
1101279,"('output_337087.txt', 0.5987186431884766)"
1101279,"('output_226578.txt', 0.5902659296989441)"
1101279,"('output_353411.txt', 0.5875407457351685)"
1101279,"('output_495128.txt', 0.5857875347137451)"
201376,"('output_26121.txt', 0.5703120827674866)"
201376,"('output_26810.txt', 0.5615251064300537)"
