Query_number,Doc_number
1,output_309935.txt
1,output_100323.txt
1,output_100584.txt
1,output_101071.txt
1,output_10399.txt
1,output_104260.txt
1,output_104548.txt
1,output_104625.txt
1,output_106356.txt
1,output_106555.txt
2,output_297808.txt
2,output_125048.txt
2,output_12807.txt
2,output_427690.txt
2,output_52192.txt
2,output_167385.txt
2,output_290521.txt
2,output_3340.txt
2,output_66546.txt
2,output_250021.txt
3,output_412243.txt
3,output_7934.txt
3,output_446120.txt
3,output_393818.txt
3,output_5024.txt
3,output_109735.txt
3,output_340139.txt
3,output_240492.txt
3,output_389228.txt
3,output_225163.txt
4,output_382280.txt
4,output_24645.txt
4,output_215320.txt
4,output_88584.txt
4,output_368176.txt
4,output_453979.txt
4,output_442403.txt
4,output_68058.txt
4,output_83789.txt
4,output_237694.txt
5,output_275177.txt
5,output_322512.txt
5,output_423078.txt
5,output_90964.txt
5,output_415441.txt
5,output_121784.txt
5,output_309488.txt
5,output_111576.txt
5,output_328483.txt
5,output_101962.txt
6,output_132518.txt
6,output_189568.txt
6,output_353204.txt
6,output_248286.txt
6,output_390654.txt
6,output_258641.txt
6,output_248947.txt
6,output_7471.txt
6,output_389419.txt
6,output_154197.txt
7,output_444818.txt
7,output_108290.txt
7,output_386215.txt
7,output_144307.txt
7,output_341340.txt
7,output_306758.txt
7,output_148588.txt
7,output_453178.txt
7,output_296799.txt
7,output_9865.txt
8,output_397047.txt
8,output_55341.txt
8,output_63260.txt
8,output_323435.txt
8,output_415854.txt
8,output_495205.txt
8,output_304137.txt
8,output_285523.txt
8,output_437074.txt
8,output_287184.txt
9,output_102770.txt
9,output_382221.txt
9,output_95059.txt
9,output_359521.txt
9,output_258409.txt
9,output_363675.txt
9,output_99688.txt
9,output_486865.txt
9,output_131782.txt
9,output_236466.txt
10,output_297761.txt
10,output_340377.txt
10,output_216245.txt
10,output_243329.txt
10,output_450109.txt
10,output_9488.txt
10,output_89072.txt
10,output_223063.txt
10,output_391119.txt
10,output_460503.txt
11,output_327705.txt
11,output_275918.txt
11,output_155218.txt
11,output_43990.txt
11,output_466378.txt
11,output_349566.txt
11,output_10798.txt
11,output_49893.txt
11,output_411251.txt
11,output_410278.txt
12,output_347188.txt
12,output_384837.txt
12,output_162406.txt
12,output_188302.txt
12,output_250938.txt
12,output_12396.txt
12,output_466464.txt
12,output_5570.txt
12,output_445561.txt
12,output_357452.txt
13,output_445236.txt
13,output_8433.txt
13,output_412373.txt
13,output_38966.txt
13,output_287137.txt
13,output_293247.txt
13,output_128003.txt
13,output_204070.txt
13,output_267779.txt
13,output_316501.txt
14,output_482219.txt
14,output_426510.txt
14,output_98162.txt
14,output_431472.txt
14,output_212878.txt
14,output_8123.txt
14,output_171256.txt
14,output_423544.txt
14,output_341499.txt
14,output_262708.txt
15,output_53396.txt
15,output_60533.txt
15,output_14387.txt
15,output_206700.txt
15,output_156247.txt
15,output_271330.txt
15,output_184067.txt
15,output_346231.txt
15,output_58621.txt
15,output_331793.txt
16,output_162017.txt
16,output_462698.txt
16,output_82123.txt
16,output_368222.txt
16,output_240151.txt
16,output_94191.txt
16,output_20242.txt
16,output_323366.txt
16,output_449489.txt
16,output_147704.txt
17,output_429186.txt
17,output_419231.txt
17,output_190614.txt
17,output_476354.txt
17,output_280811.txt
17,output_107586.txt
17,output_442493.txt
17,output_69752.txt
17,output_173814.txt
17,output_304484.txt
18,output_426872.txt
18,output_179059.txt
18,output_223887.txt
18,output_13449.txt
18,output_96953.txt
18,output_350565.txt
18,output_273288.txt
18,output_289586.txt
18,output_254359.txt
18,output_19726.txt
19,output_50831.txt
19,output_200634.txt
19,output_5887.txt
19,output_342368.txt
19,output_461914.txt
19,output_420615.txt
19,output_7174.txt
19,output_277203.txt
19,output_39104.txt
19,output_299687.txt
20,output_367237.txt
20,output_209544.txt
20,output_204672.txt
20,output_197720.txt
20,output_292650.txt
20,output_362094.txt
20,output_475066.txt
20,output_311161.txt
20,output_200927.txt
20,output_321428.txt
21,output_367532.txt
21,output_229100.txt
21,output_218008.txt
21,output_250951.txt
21,output_325730.txt
21,output_131267.txt
21,output_73600.txt
21,output_389777.txt
21,output_438632.txt
21,output_127566.txt
22,output_203340.txt
22,output_26765.txt
22,output_278511.txt
22,output_113758.txt
22,output_500194.txt
22,output_32924.txt
22,output_80004.txt
22,output_174493.txt
22,output_194090.txt
22,output_139205.txt
23,output_264053.txt
23,output_92263.txt
23,output_332471.txt
23,output_52188.txt
23,output_129160.txt
23,output_178352.txt
23,output_164998.txt
23,output_128003.txt
23,output_204070.txt
23,output_267779.txt
24,output_467061.txt
24,output_281834.txt
24,output_451396.txt
24,output_95966.txt
24,output_27099.txt
24,output_194086.txt
24,output_388815.txt
24,output_31326.txt
24,output_139998.txt
24,output_320100.txt
25,output_150286.txt
25,output_345319.txt
25,output_259798.txt
25,output_7616.txt
25,output_181510.txt
25,output_236969.txt
25,output_314242.txt
25,output_326454.txt
25,output_100578.txt
25,output_28377.txt
26,output_314902.txt
26,output_94651.txt
26,output_334314.txt
26,output_292416.txt
26,output_486604.txt
26,output_88548.txt
26,output_451987.txt
26,output_318341.txt
26,output_275991.txt
26,output_270436.txt
27,output_405180.txt
27,output_383585.txt
27,output_279448.txt
27,output_268658.txt
27,output_482695.txt
27,output_141729.txt
27,output_179148.txt
27,output_262860.txt
27,output_135510.txt
27,output_51164.txt
28,output_157428.txt
28,output_390861.txt
28,output_292675.txt
28,output_440642.txt
28,output_10057.txt
28,output_403359.txt
28,output_328501.txt
28,output_412889.txt
28,output_64451.txt
28,output_67638.txt
29,output_134929.txt
29,output_215162.txt
29,output_183536.txt
29,output_51481.txt
29,output_464269.txt
29,output_177542.txt
29,output_448073.txt
29,output_265072.txt
29,output_255800.txt
29,output_174789.txt
30,output_290351.txt
30,output_138348.txt
30,output_324797.txt
30,output_247586.txt
30,output_458067.txt
30,output_171306.txt
30,output_365299.txt
30,output_343204.txt
30,output_387457.txt
30,output_351135.txt
31,output_323226.txt
31,output_426330.txt
31,output_263789.txt
31,output_128003.txt
31,output_204070.txt
31,output_267779.txt
31,output_316501.txt
31,output_187575.txt
31,output_91307.txt
31,output_177281.txt
32,output_323197.txt
32,output_307971.txt
32,output_123573.txt
32,output_276378.txt
32,output_41366.txt
32,output_444490.txt
32,output_268166.txt
32,output_18388.txt
32,output_5320.txt
32,output_139660.txt
33,output_180557.txt
33,output_374817.txt
33,output_378214.txt
33,output_199273.txt
33,output_271531.txt
33,output_372234.txt
33,output_344066.txt
33,output_348784.txt
33,output_272650.txt
33,output_79997.txt
34,output_485600.txt
34,output_486155.txt
34,output_22255.txt
34,output_172371.txt
34,output_479030.txt
34,output_139388.txt
34,output_124399.txt
34,output_131690.txt
34,output_228901.txt
34,output_31760.txt
35,output_122496.txt
35,output_114984.txt
35,output_128003.txt
35,output_204070.txt
35,output_267779.txt
35,output_316501.txt
35,output_250149.txt
35,output_340739.txt
35,output_255934.txt
35,output_455889.txt
36,output_394974.txt
36,output_115171.txt
36,output_250789.txt
36,output_367447.txt
36,output_389598.txt
36,output_268490.txt
36,output_68452.txt
36,output_130490.txt
36,output_424466.txt
36,output_210099.txt
37,output_179568.txt
37,output_189078.txt
37,output_161112.txt
37,output_276877.txt
37,output_38642.txt
37,output_242387.txt
37,output_11073.txt
37,output_89540.txt
37,output_256130.txt
37,output_315284.txt
38,output_172176.txt
38,output_172767.txt
38,output_174593.txt
38,output_440311.txt
38,output_251994.txt
38,output_380704.txt
38,output_435874.txt
38,output_414908.txt
38,output_357712.txt
38,output_420618.txt
39,output_270699.txt
39,output_352537.txt
39,output_219522.txt
39,output_226012.txt
39,output_368341.txt
39,output_294135.txt
39,output_277429.txt
39,output_385092.txt
39,output_206459.txt
39,output_92433.txt
40,output_234582.txt
40,output_90906.txt
40,output_442961.txt
40,output_145319.txt
40,output_100858.txt
40,output_288916.txt
40,output_452104.txt
40,output_194885.txt
40,output_216539.txt
40,output_251303.txt
41,output_385808.txt
41,output_149379.txt
41,output_284713.txt
41,output_467127.txt
41,output_231053.txt
41,output_149199.txt
41,output_441873.txt
41,output_102838.txt
41,output_327582.txt
41,output_255367.txt
42,output_208993.txt
42,output_432158.txt
42,output_132139.txt
42,output_381527.txt
42,output_225657.txt
42,output_317996.txt
42,output_265857.txt
42,output_222042.txt
42,output_341037.txt
42,output_247726.txt
43,output_270062.txt
43,output_165246.txt
43,output_255168.txt
43,output_351331.txt
43,output_114395.txt
43,output_83165.txt
43,output_52999.txt
43,output_305246.txt
43,output_367586.txt
43,output_6314.txt
44,output_491003.txt
44,output_410915.txt
44,output_22010.txt
44,output_381182.txt
44,output_304220.txt
44,output_303736.txt
44,output_489273.txt
44,output_248473.txt
44,output_491788.txt
44,output_57912.txt
45,output_49059.txt
45,output_413838.txt
45,output_242835.txt
45,output_83702.txt
45,output_500550.txt
45,output_13444.txt
45,output_199176.txt
45,output_464718.txt
45,output_14995.txt
45,output_38743.txt
46,output_419.txt
46,output_138744.txt
46,output_236885.txt
46,output_340499.txt
46,output_117779.txt
46,output_204041.txt
46,output_163370.txt
46,output_67388.txt
46,output_189192.txt
46,output_284315.txt
47,output_440626.txt
47,output_20982.txt
47,output_168396.txt
47,output_173655.txt
47,output_91506.txt
47,output_350996.txt
47,output_450206.txt
47,output_497949.txt
47,output_486168.txt
47,output_361701.txt
48,output_377852.txt
48,output_170205.txt
48,output_71786.txt
48,output_62861.txt
48,output_295651.txt
48,output_72367.txt
48,output_491144.txt
48,output_365043.txt
48,output_144509.txt
48,output_460410.txt
49,output_111656.txt
49,output_438506.txt
49,output_416560.txt
49,output_131365.txt
49,output_26389.txt
49,output_226933.txt
49,output_230519.txt
49,output_457140.txt
49,output_185747.txt
49,output_387920.txt
50,output_211267.txt
50,output_235254.txt
50,output_701.txt
50,output_135777.txt
50,output_376296.txt
50,output_248974.txt
50,output_256521.txt
50,output_316701.txt
50,output_322985.txt
50,output_169508.txt
51,output_300595.txt
51,output_295430.txt
51,output_273343.txt
51,output_168658.txt
51,output_304989.txt
51,output_216059.txt
51,output_384781.txt
51,output_307150.txt
51,output_62281.txt
51,output_80112.txt
52,output_363529.txt
52,output_199213.txt
52,output_422960.txt
52,output_79102.txt
52,output_467823.txt
52,output_115604.txt
52,output_357799.txt
52,output_292155.txt
52,output_372701.txt
52,output_67458.txt
53,output_290276.txt
53,output_311867.txt
53,output_10236.txt
53,output_32984.txt
53,output_433914.txt
53,output_138642.txt
53,output_291283.txt
53,output_10828.txt
53,output_490053.txt
53,output_411613.txt
54,output_299181.txt
54,output_434368.txt
54,output_390947.txt
54,output_151150.txt
54,output_314230.txt
54,output_240293.txt
54,output_213784.txt
54,output_428401.txt
54,output_499560.txt
54,output_368918.txt
55,output_468603.txt
55,output_85782.txt
55,output_191449.txt
55,output_89602.txt
55,output_350108.txt
55,output_35154.txt
55,output_464389.txt
55,output_495504.txt
55,output_49028.txt
55,output_225530.txt
56,output_223379.txt
56,output_350600.txt
56,output_75978.txt
56,output_119313.txt
56,output_256588.txt
56,output_385079.txt
56,output_216628.txt
56,output_316230.txt
56,output_440274.txt
56,output_65996.txt
57,output_194349.txt
57,output_188873.txt
57,output_76405.txt
57,output_63875.txt
57,output_134725.txt
57,output_8502.txt
57,output_38608.txt
57,output_366639.txt
57,output_213613.txt
57,output_64897.txt
58,output_235272.txt
